set,frame,closed_by_labeler,aspect,centre_off,min_conf,opening_px
1_20251031_Pluto_spont_1/training-data/labels/batch06,img024920.png,False,0.6137885920206088,0.07058348751493845,0.6554571986198425,143.45449189670455
1_20251031_Pluto_spont_1/training-data/labels/batch06,img026069.png,False,0.7539700331826553,0.024861246584483528,0.5722455978393555,181.16049050728813
1_20251031_Pluto_spont_1/training-data/labels/batch06,img030467.png,False,0.8221866203448763,0.022279613235499453,0.7353554964065552,184.3333995590219
1_20251031_Pluto_spont_1/training-data/labels/batch06,img035077.png,False,0.885635576874696,0.03428137351916766,0.5513193607330322,222.46447421845525
1_20251031_Pluto_spont_1/training-data/labels/batch06,img037847.png,False,0.9231594405625859,0.11231027681762061,0.5826312303543091,177.69916175880752
1_20251031_Pluto_spont_1/training-data/labels/batch06,img038396.png,False,0.6442913779684046,0.09491633136811999,0.6404111981391907,153.00326168961064
1_20251031_Pluto_spont_1/training-data/labels/batch06,img040162.png,False,0.8282388436560497,0.028041911405451477,0.46059510111808777,177.67313333901004
1_20251031_Pluto_spont_1/training-data/labels/batch06,img043336.png,False,0.765708465516847,0.015008954718366076,0.5071055293083191,181.41175524692332
1_20251031_Pluto_spont_1/training-data/labels/batch06,img043579.png,False,0.7718218641205667,0.019121375568780307,0.5916319489479065,179.9008063433033
1_20251031_Pluto_spont_1/training-data/labels/batch06,img043688.png,False,0.8073124357193122,0.03373220721838292,0.534809947013855,175.19303017354426
1_20251031_Pluto_spont_1/training-data/labels/batch06,img044994.png,False,0.4177381253728666,0.21504767660548735,0.35439321398735046,126.36624760810692
1_20251031_Pluto_spont_1/training-data/labels/batch06,img051521.png,False,0.8650252613523804,0.057342889200988165,0.8405871391296387,198.87435138539612
1_20251031_Pluto_spont_1/training-data/labels/batch06,img052816.png,False,0.7375095440279542,0.02382505723237417,0.5973396301269531,148.05379202858603
1_20251031_Pluto_spont_1/training-data/labels/batch07,img000309.png,False,0.8975415825843811,0.08713606066909871,0.5586215257644653,180.42442321777344
1_20251031_Pluto_spont_1/training-data/labels/batch07,img004724.png,False,1.0181964635849,0.062200429024986695,0.8674551248550415,221.37301635742188
1_20251031_Pluto_spont_1/training-data/labels/batch07,img005656.png,False,0.940146803855896,0.09046049845262708,0.7009038329124451,221.0533447265625
1_20251031_Pluto_spont_1/training-data/labels/batch07,img006439.png,False,0.6536616683006287,0.05435867281180557,0.3088352382183075,170.2095184326172
1_20251031_Pluto_spont_1/training-data/labels/batch07,img006595.png,False,0.8882148861885071,0.019578837869130616,0.3375565707683563,250.46531677246094
1_20251031_Pluto_spont_1/training-data/labels/batch07,img007074.png,False,0.9200176000595093,0.052826008678116314,0.4355320632457733,268.735595703125
1_20251031_Pluto_spont_1/training-data/labels/batch07,img007135.png,False,0.892584502696991,0.018634380288069238,0.5079396963119507,254.96307373046875
1_20251031_Pluto_spont_1/training-data/labels/batch07,img008941.png,False,0.9194570779800415,0.08508552561178145,0.6736147403717041,230.0781707763672
1_20251031_Pluto_spont_1/training-data/labels/batch07,img009691.png,False,0.9743850827217102,0.11988654470803127,0.7584812045097351,239.34681701660156
1_20251031_Pluto_spont_1/training-data/labels/batch07,img013570.png,False,0.9232841730117798,0.11419347545154043,0.7956735491752625,208.22657775878906
1_20251031_Pluto_spont_1/training-data/labels/batch07,img019422.png,False,1.0481975078582764,0.15059566367024985,0.6090205907821655,178.5457763671875
1_20251031_Pluto_spont_1/training-data/labels/batch07,img029497.png,False,0.896733820438385,0.024887741685567434,0.800588071346283,214.76727294921875
1_20251031_Pluto_spont_1/training-data/labels/batch07,img037545.png,False,0.8428248763084412,0.0559915492924467,0.46764448285102844,181.638916015625
1_20251031_Pluto_spont_1/training-data/labels/batch07,img040044.png,False,0.8238193392753601,0.04119331419047512,0.5140811204910278,182.38528442382812
1_20251031_Pluto_spont_1/training-data/labels/batch07,img044890.png,False,0.8853057622909546,0.030601331360750886,0.8867484331130981,217.0762176513672
1_20251031_Pluto_spont_1/training-data/labels/batch07,img046130.png,False,0.8439372777938843,0.04561100248873422,0.7918215394020081,256.60955810546875
1_20251031_Pluto_spont_1/training-data/labels/batch07,img050072.png,False,0.9612878561019897,0.16212367798573055,0.7088152766227722,194.0579833984375
1_20251031_Pluto_spont_1/training-data/labels/batch07,img051754.png,False,0.8020544052124023,0.12581611573450674,0.4143485426902771,126.61335754394531
1_20251031_Pluto_spont_1/training-data/labels/batch07,img052886.png,False,0.652877151966095,0.06098785409244931,0.6566264033317566,141.56980895996094
1_20251031_Pluto_spont_1/training-data/labels/batch07,img053950.png,False,0.8116317987442017,0.03400807217626679,0.6761994361877441,179.45164489746094
1_20251031_Pluto_spont_1/training-data/labels/test50,img064573.png,False,0.20611472427845,4.704606470225277,0.26621049642562866,231.55677795410156
1_20251031_Pluto_spont_1/training-data/labels/test50,img064719.png,False,0.17435422539710999,1.1042676914103116,0.3212500214576721,360.1226501464844
1_20251031_Pluto_spont_1/training-data/labels/test50,img064865.png,False,0.1280176341533661,1.0829660544518829,0.34648454189300537,364.17724609375
1_20251031_Pluto_spont_1/training-data/labels/test50,img065012.png,False,0.12137053906917572,1.1255391350713355,0.3652087450027466,363.19976806640625
1_20251031_Pluto_spont_1/training-data/labels/test50,img065158.png,False,0.8081124424934387,0.9871390393492206,0.14254681766033173,624.4783935546875
1_20251031_Pluto_spont_1/training-data/labels/test50,img065305.png,False,0.15114860236644745,1.0895290564484645,0.26656845211982727,620.5723876953125
1_20251031_Pluto_spont_1/training-data/labels/test50,img065451.png,False,0.8632171154022217,2.9555228982022537,0.4538809657096863,237.9059295654297
1_20251031_Pluto_spont_1/training-data/labels/test50,img065597.png,False,0.321332186460495,3.798849606222501,0.2868731617927551,365.2618713378906
1_20251031_Pluto_spont_1/training-data/labels/test50,img065744.png,False,0.2026306688785553,1.0492580878777684,0.2431950718164444,621.0327758789062
1_20251031_Pluto_spont_1/training-data/labels/test50,img065890.png,False,0.9770912528038025,2.9189888150702212,0.34110480546951294,254.48036193847656
1_20251031_Pluto_spont_1/training-data/labels/test50,img066037.png,False,0.4431242346763611,0.4768640930496176,0.4250812828540802,255.33447265625
1_20251031_Pluto_spont_1/training-data/labels/test50,img066183.png,False,5.132068634033203,1.5944818362438153,0.13310301303863525,623.521728515625
1_20251031_Pluto_spont_1/training-data/labels/test50,img066329.png,False,0.44133156538009644,0.46922822120711305,0.46904245018959045,238.1672821044922
1_20251031_Pluto_spont_1/training-data/labels/test50,img066476.png,False,0.4631722867488861,0.4661163137670128,0.3908216953277588,268.2037048339844
1_20251031_Pluto_spont_1/training-data/labels/test50,img066622.png,False,0.13152223825454712,4.062310720325011,0.28220319747924805,360.50579833984375
1_20251031_Pluto_spont_1/training-data/labels/test50,img066769.png,False,0.15863581001758575,4.085274045514632,0.14218467473983765,616.1141967773438
