shuffle,test_unit,model_idx,model_unit,mouse,date,step,labels_this_video,total_labels,median_frame_rmse_px,p90_frame_rmse_px,frac_frames_rmse_gt_50px,frac_points_conf_ge_0.6,median_pupil_top_px,median_pupil_bottom_px,median_pupil_left_px,median_pupil_right_px,median_eyelid_top_px,median_eyelid_bottom_px,median_eye_nasal_corner_px,median_eye_temporal_corner_px
115,1_20251031_Pluto_spont_1,4.0,0_first5minvedio,mouse A,5-min recording,5.0,100.0,100.0,208.23,257.91,0.98,0.193,334.26,0.0,69.87,0.0,333.4,0.0,33.51,56.4
115,2_20251031_pluton2,4.0,0_first5minvedio,mouse A,5-min recording,5.0,100.0,100.0,171.93,284.57,0.82,0.471,251.8,27.76,23.19,12.34,255.81,1.42,24.51,31.52
115,3_20251031_pluto3,4.0,0_first5minvedio,mouse A,5-min recording,5.0,100.0,100.0,190.89,297.4,0.98,0.143,335.84,9.93,223.81,3.84,337.18,7.95,38.38,22.92
211,0_first5minvedio,5.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,1.0,20.0,120.0,12.51,19.25,0.0,0.93,11.91,4.48,7.77,5.0,10.79,5.17,16.74,11.46
211,1_20251031_Pluto_spont_1,5.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,1.0,20.0,120.0,10.37,21.58,0.04,0.593,9.64,5.44,13.04,4.15,7.78,5.56,6.71,9.48
211,2_20251031_pluton2,5.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,1.0,20.0,120.0,20.32,138.74,0.28,0.448,26.69,3.56,6.29,4.19,10.88,2.05,6.14,9.33
211,3_20251031_pluto3,5.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,1.0,20.0,120.0,8.7,139.43,0.22,0.437,12.34,5.63,4.55,2.25,3.55,3.63,6.49,9.14
212,0_first5minvedio,6.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,2.0,40.0,140.0,12.46,18.14,0.0,0.912,11.43,3.82,8.39,5.19,12.21,5.36,16.23,11.11
212,1_20251031_Pluto_spont_1,6.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,2.0,40.0,140.0,12.17,20.31,0.0,0.748,9.74,5.31,12.32,4.12,7.54,5.07,14.26,11.5
212,2_20251031_pluton2,6.0,1_20251031_Pluto_spont_1,mouse B (Pluto),2025-10-31,2.0,40.0,140.0,14.96,121.54,0.38,0.584,24.69,2.17,6.68,2.72,10.48,1.71,6.76,6.8
